,Name,Address,Coordinates,Lat,Long,euc_diff
46,Paradise Performing Arts Center,"29 Shipman Street Suite #202, Hilo",POINT (-155.087556 19.726866),19.726866,-155.087556,0.07048264504780954
47,United Hawaii College,"139 Kapiolani Street, Hilo",POINT (-155.0887427 19.7205154),19.7205154,-155.0887427,0.07081364155092072
48,Hilo Burger Joint,"776 Kilauea Avenue, Hilo",POINT (-155.0790564 19.7164267),19.7164267,-155.0790564,0.060891319231301706
49,Texaco,"774 Kamehameha Avenue, Hilo",POINT (-155.0784104 19.7218168),19.7218168,-155.0784104,0.06067537518735987
50,Hilo Bottle Shop,"340 Kilauea Avenue, Hilo",POINT (-155.0836909 19.7206349),19.7206349,-155.0836909,0.06579421126189551
51,Kadota Liquor,"194 Hualalai Street, Hilo",POINT (-155.0830818 19.7168287),19.7168287,-155.0830818,0.06492881966380953
52,The Big Island Hostel,"804A Kilauea Avenue, Hilo",POINT (-155.0787612 19.716204),19.716204,-155.0787612,0.06058890107981802
53,Pahoa Preschool,"101 Aupuni Street # 227, Hilo",POINT (-155.0765877 19.7174753),19.7174753,-155.0765877,0.058471705533996374
54,Ivy School,Hilo,POINT (-155.08 19.7222222),19.7222222,-155.08,0.06230328373084977
55,KukuAu Studio,"43 Kukuau Street, Hilo",POINT (-155.0838421 19.7200068),19.7200068,-155.0838421,0.06588736128011141
56,Cost.U.Less,"715 Kinoole Street, Hilo",POINT (-155.0835839 19.7183317),19.7183317,-155.0835839,0.06550579574406538
57,Peggy's Lounge,"760 Piilani Street, Hilo",POINT (-155.0673769 19.7162086),19.7162086,-155.0673769,0.04921168532945916
58,Coquis Hideaway Restaurant,"1550 Kamehameha Avenue, Hilo",POINT (-155.0670703 19.7220898),19.7220898,-155.0670703,0.04948475871002206
59,"E Komo Mai Diner, Bar & Grill.","1550 Kamehameha Avenue, Hilo",POINT (-155.0670928 19.7222366),19.7222366,-155.0670928,0.04953028246913057
60,East Side Hilo Bar & Grill,"200 Kanoelehua Avenue APT 106, Hilo",POINT (-155.0645767 19.7204595),19.7204595,-155.0645767,0.04678151416112285
61,Joann's Lounge Bar,"88 Kanoelehua Avenue, Hilo",POINT (-155.0644695 19.7216182),19.7216182,-155.0644695,0.04684218361459335
62,Wai'oli Lounge & iCafé,"71 Banyan Drive d, Hilo",POINT (-155.066622 19.7281914),19.7281914,-155.066622,0.05037250470988741
63,The Crown,"93 Banyan Drive, Hilo",POINT (-155.0652777 19.7290481),19.7290481,-155.0652777,0.04933098729379998
64,Banyan Mini Mart,"71 Banyan Drive # C, Hilo",POINT (-155.0667051 19.7279537),19.7279537,-155.0667051,0.05038746999459718
65,Manono Mini Mart,"454 Manono Street, Hilo",POINT (-155.0706143 19.7160288),19.7160288,-155.0706143,0.05244057794309097
66,nomnom,"1801 Kamehameha Avenue, Hilo",POINT (-155.0636225 19.7228959),19.7228959,-155.0636225,0.046226164514193264
67,Provisions Market,"126 Banyan Way, Hilo",POINT (-155.0630065 19.72341609999999),19.72341609999999,-155.0630065,0.04572189053598304
68,76,"1801 Kamehameha Avenue, Hilo",POINT (-155.0635788 19.7227931),19.7227931,-155.0635788,0.046164208841621354
69,Aloha Island Mart,"761 Kekuanaoa Street, Hilo",POINT (-155.0647119 19.7119655),19.7119655,-155.0647119,0.0465684156215308
70,SCP Hilo Hotel,"126 Banyan Way, Hilo",POINT (-155.062949 19.723507),19.723507,-155.062949,0.04568377429924502
71,Hilo Hawaiian Hotel,"71 Banyan Drive, Hilo",POINT (-155.066467 19.7284039),19.7284039,-155.066467,0.050282712055153854
72,Pineapple Park Accomodations,"860 Piilani Street #1, Hilo",POINT (-155.0661353 19.71611),19.71611,-155.0661353,0.0479672242659339
73,Hilo Reeds Bay Hotel,"175 Banyan Drive, Hilo",POINT (-155.0629156 19.727729),19.727729,-155.0629156,0.04668585585640929
74,Ocean front 121,"121 Banyan Drive, Hilo",POINT (-155.0638389 19.72837849999999),19.72837849999999,-155.0638389,0.047758272841777756
75,Urasenke Hilo Tea House,"Lili`uokalani Gardens, Island of USA, Banyan Drive, Hilo",POINT (-155.0678983 19.7257285),19.7257285,-155.0678983,0.05099279914814889
76,Keiki Steps,"421 Kalanikoa Street, Hilo",POINT (-155.0653241 19.716661),19.716661,-155.0653241,0.0471809453954439
77,Francis Wong Stadium,"Hoolulu Park, 323 Manono Street, Hilo",POINT (-155.0677808 19.7181057),19.7181057,-155.0677808,0.04972432392662693
78,Walter Victor C K Baseball Complex,Hilo,POINT (-155.0687079 19.7201468),19.7201468,-155.0687079,0.05084278725036997
79,"BJY Contracting-Residential Concrete Contractor,Roofing Installation Service Work,Construction","Hinano Street, Hilo",POINT (-155.0689442 19.7159848),19.7159848,-155.0689442,0.050769935903168376
80,Hilo Pagoda Hotel,"USAk, 121 Banyan Drive, Hilo",POINT (-155.0638389 19.72837849999999),19.72837849999999,-155.0638389,0.047758272841777756
81,Hilo International Airport,"2450 Kekuanaoa Street, Hilo",POINT (-155.0416866 19.7188342),19.7188342,-155.0416866,0.023917725208886794
82,Blue Hawaiian Helicopters,"2200 Kekuanaoa Street, Hilo",POINT (-155.0434895 19.7150176),19.7150176,-155.0434895,0.025297464194793947
83,Margarita Village,"11 Silva Street, Hilo",POINT (-155.0540466 19.7272758),19.7272758,-155.0540466,0.03812002828628127
84,Keaukaha General Store,"11 Silva Street, Hilo",POINT (-155.054004 19.727332),19.727332,-155.054004,0.03809915754314484
85,PAR Hawaii Refining,"607 Kalanianaole Street, Hilo",POINT (-155.055673 19.7274492),19.7274492,-155.055673,0.039710273722723184
86,Keaukaha Elementary School,"240 Desha Avenue, Hilo",POINT (-155.0450368 19.7284252),19.7284252,-155.0450368,0.030324166093403285
87,Youth Challenge Academy Hilo,"1046 Leilani Street, Hilo",POINT (-155.0510944 19.7130503),19.7130503,-155.0510944,0.03291606782418455
88,Keaukaha Special Education,"240 Desha Avenue, Hilo",POINT (-155.0450368 19.7284252),19.7284252,-155.0450368,0.030324166093403285
89,Pacific Aquaculture & Coastal Resources Center (PACRC) University of Hawaiʻi at Hilo,"1079 Kalanianaole Street, Hilo",POINT (-155.0474352 19.7310082),19.7310082,-155.0474352,0.03366984810901623
90,Ke Ana La'ahana Public Charter School,"160 Baker Avenue, Hilo",POINT (-155.0438794 19.7269591),19.7269591,-155.0438794,0.028627190281239265
91,Ke'anala'ahana,Hilo,POINT (-155.0439636 19.72699),19.72699,-155.0439636,0.0287163769930399
92,"Kamehameha Schools, Keakaha Preschool","163 Baker Avenue, Hilo",POINT (-155.0436884 19.7270559),19.7270559,-155.0436884,0.028499184627037627
93,Ka Umeke Kaeo PCS,"222 Desha Avenue, Hilo",POINT (-155.0451804 19.7285009),19.7285009,-155.0451804,0.03048649735344332
94,Hale O Kamalii School,Hilo,POINT (-155.0449527 19.7284292),19.7284292,-155.0449527,0.03025163687140467
95,Arnott's Lodge and Hiking Adventures,"98 Apapane Road, Hilo",POINT (-155.0413173 19.7344686),19.7344686,-155.0413173,0.030675564837656905
96,Aaron's Cottage,"54 Keokea Loop, Hilo",POINT (-155.0417358 19.7350709),19.7350709,-155.0417358,0.03138738449622173
97,Hilo Beach House Inn,"23 Machida Lane, Hilo",POINT (-155.0374872 19.7366873),19.7366873,-155.0374872,0.029546605630225434
98,Garden Manor by the Sea,"1896 Kalanianaole Street, Hilo",POINT (-155.0258046 19.7320486),19.7320486,-155.0258046,0.019306186596760436
99,Hale Lamalama Ka'ili Bed & Breakfast,"1335 Kalanianaole Street, Hilo",POINT (-155.0408436 19.7343251),19.7343251,-155.0408436,0.030224960514847635
100,Ka Umeke Kaeo Pcs,"1500 Kalanianaole Street, Hilo",POINT (-155.0357084 19.7342351),19.7342351,-155.0357084,0.02652896101334158
101,Balancing Monkey Yoga,"Onekahakaha Beach Park, 74 Onekahakaha Road, Hilo",POINT (-155.0395993 19.7381742),19.7381742,-155.0395993,0.032057857022334185
102,Kumuola Marine Science Education Center,"1650 Kalanianaole Street, Hilo",POINT (-155.0323137 19.7337068),19.7337068,-155.0323137,0.023993143276711024
103,At the Beach With Friends Bed and Breakfast,"369 Nene Street, Hilo",POINT (-155.0161674 19.7324578),19.7324578,-155.0161674,0.018269177522752037
104,Aunty Yong's Place,"688 Kinoole Street, Hilo",POINT (-155.0846933 19.717616),19.717616,-155.0846933,0.06657367043064392
105,Longs Drugs,"82 Puuhonu Place, Hilo",POINT (-155.0983288 19.7170295),19.7170295,-155.0983288,0.08017304770548471
106,Straub Medical Center - Hilo Clinic,"75 Puuhonu Place, Hilo",POINT (-155.0965672 19.7158175),19.7158175,-155.0965672,0.07837969624683763
107,Vein Clinics of Hawaii,"670 Ponahawai Street #220, Hilo",POINT (-155.0966937 19.7143923),19.7143923,-155.0966937,0.07849160067544556
108,KA WAENA LAPA'AU,"670 Ponahawai Street, Hilo",POINT (-155.0966888 19.7142178),19.7142178,-155.0966888,0.07848669453667674
109,Women’s Health Specialists,"Punahele Professional Building, 82 Puuhonu Place Suite 205, Hilo",POINT (-155.0981942 19.7170747),19.7170747,-155.0981942,0.080040078614863
110,Ululani Medical Center,"868 Ululani Street, Hilo",POINT (-155.0858126 19.7166553),19.7166553,-155.0858126,0.067651382030122
111,Hilltop Legacy Vacation Rental,"57 Hina Street, Hilo",POINT (-155.0969659 19.7177603),19.7177603,-155.0969659,0.07883962212798389
112,Hilo Honu Inn,"465 Haili Street, Hilo",POINT (-155.0952461 19.7184146),19.7184146,-155.0952461,0.07715362079488777
113,Hawaiian vacation home,"266 Kaiulani Street, Hilo",POINT (-155.0989774 19.7220993),19.7220993,-155.0989774,0.08115068863498176
114,Wailele Nalo,"266 Kaiulani Street, Hilo",POINT (-155.0990355 19.7220578),19.7220578,-155.0990355,0.0812045460284961
115,The Falls at Reed's Island,"286 Kaiulani Street, Hilo",POINT (-155.1014408 19.7207526),19.7207526,-155.1014408,0.08348819814718418
116,Hilo High School,"556 Waianuenue Avenue, Hilo",POINT (-155.0964414 19.7214234),19.7214234,-155.0964414,0.07856265230965971
117,Hilo Intermediate School,"587 Waianuenue Avenue, Hilo",POINT (-155.0958402 19.7201922),19.7201922,-155.0958402,0.0778611439178038
118,Department of Education,"480 Waianuenue Avenue, Hilo",POINT (-155.0929732 19.7230912),19.7230912,-155.0929732,0.0752858204566378
119,Hilo Special Education,"587 Waianuenue Avenue, Hilo",POINT (-155.0958402 19.7201922),19.7201922,-155.0958402,0.0778611439178038
120,Aha Punana Leo Inc,"96 Puuhonu Place, Hilo",POINT (-155.097997 19.716601),19.716601,-155.097997,0.07982795260058922
121,Within Nilo,Hilo,POINT (-155.0904057 19.7203228),19.7203228,-155.0904057,0.07245411698922871
122,Performing Arts Learning Center,"556 Waianuenue Avenue, Hilo",POINT (-155.096125 19.7211775),19.7211775,-155.096125,0.07822556457922444
123,A-Plus Program,"506 Waianuenue Avenue, Hilo",POINT (-155.0947805 19.7217334),19.7217334,-155.0947805,0.07693805936585289
124,HTA- Hilo Learning Center,"539 Kinoole Street, Hilo",POINT (-155.0854093 19.7197203),19.7197203,-155.0854093,0.06742518628227365
125,Walter C.k. Victor Gymnasium,"1000 Ululani Street, Hilo",POINT (-155.0849583 19.7138389),19.7138389,-155.0849583,0.06675775734453508
126,Ola Tap room,"Kekuanaoa Street, Hilo",POINT (-155.07671 19.7115258),19.7115258,-155.07671,0.05857369106135884
127,Ola Brew - Hilo,"1177 Kilauea Avenue, Hilo",POINT (-155.076727 19.71167939999999),19.71167939999999,-155.076727,0.05858359408944579
128,Crazy Grandmaz,"718 Kinoole Street, Hilo",POINT (-155.0842809 19.7173939),19.7173939,-155.0842809,0.06615103284089578
129,Shell,"1104 Kilauea Avenue, Hilo",POINT (-155.0773382 19.71231119999999),19.71231119999999,-155.0773382,0.05916955913332448
130,7-Eleven,"895 Kinoole Street, Hilo",POINT (-155.0826587 19.7156822),19.7156822,-155.0826587,0.06447131824135784
131,7-Eleven,"1321 Kilauea Avenue, Hilo",POINT (-155.0757526 19.7096732),19.7096732,-155.0757526,0.057736319920666926
132,7-Eleven,"74 West Kawili Street, Hilo",POINT (-155.0748951 19.7026768),19.7026768,-155.0748951,0.057872639752371974
133,Puamana Shell Leis & Pearls,"834 Kilauea Avenue, Hilo",POINT (-155.0783879 19.7159231),19.7159231,-155.0783879,0.06020756948771103
134,Hilo Vet Center,"70 Lanihuli Street, Hilo",POINT (-155.0789062 19.7111621),19.7111621,-155.0789062,0.060785214895390224
135,Lehua Honeymoon Suite,"400 Hualani Street #21st, Hilo",POINT (-155.073612 19.7133161),19.7133161,-155.073612,0.05541862447667156
136,St. Joseph Elementary School,"999 Ululani Street, Hilo",POINT (-155.0835238 19.7147358),19.7147358,-155.0835238,0.06532308756834093
137,Chiefess Kapiʻolani Elementary School,"966 Kilauea Avenue, Hilo",POINT (-155.0783015 19.7138994),19.7138994,-155.0783015,0.06010069946442288
138,E'Makaala School,"440 West Lanikaula Street, Hilo",POINT (-155.0813035 19.7037609),19.7037609,-155.0813035,0.0639757852858627
139,Big Island Guitars and Music Supply,"1221 Kilauea Avenue Unit 10, Hilo",POINT (-155.075866 19.710869),19.710869,-155.075866,0.05776596706959979
140,Saint Joseph High School,"1000 Ululani Street, Hilo",POINT (-155.0844683 19.71399),19.71399,-155.0844683,0.06626688490574309
141,St Joseph Preschool,"999 Ululani Street, Hilo",POINT (-155.0836473 19.7151222),19.7151222,-155.0836473,0.06545028489234495
142,Joyland Preschool,"1407 Kapiolani Street, Hilo",POINT (-155.0777023 19.7024819),19.7024819,-155.0777023,0.06066291534361371
143,Star Bells Hand Bell Choir,"440 West Lanikaula Street, Hilo",POINT (-155.0817762 19.703861),19.703861,-155.0817762,0.0644257727767542
144,Marine Science Building,"University of Hawaiʻi at Hilo, 446 West Lanikaula Street, Hilo",POINT (-155.0808536 19.7033332),19.7033332,-155.0808536,0.06360444126932124
145,Hilo,"200 West Kawili Street, Hilo",POINT (-155.0795138 19.7017175),19.7017175,-155.0795138,0.06258989683634884
146,UH Hilo Student Services Center,Hilo,POINT (-155.0797541 19.7008093),19.7008093,-155.0797541,0.06301351556434114
147,School,"200 West Kawili Street, Hilo",POINT (-155.0829154 19.700409),19.700409,-155.0829154,0.06618782395920277
148,Island Naturals Market & Deli - Hilo,"1221 Kilauea Avenue Suite 170, Hilo",POINT (-155.075915 19.7110284),19.7110284,-155.075915,0.05780563368753596
149,泰茂超级市场,"1178 Kilauea Avenue, Hilo",POINT (-155.0772833 19.7114152),19.7114152,-155.0772833,0.05915164789388928
150,Hale Kehau,"603 West Lanikaula Street, Hilo",POINT (-155.0827532 19.7017484),19.7017484,-155.0827532,0.06576045943606576
151,UH Hilo Conference Center,"PB-8, 200 West Kawili Street, Hilo",POINT (-155.0791607 19.70184609999999),19.70184609999999,-155.0791607,0.06221817507491861
152,Hawaiian EDventure,"200 West Kawili Street, Hilo",POINT (-155.0792472 19.7012676),19.7012676,-155.0792472,0.06242115900895041
153,Pacific Internship Programs for Exploring Science,"PB-6 ,Room 105, Kapiolani Street, Hilo",POINT (-155.0793804 19.7035733),19.7035733,-155.0793804,0.06211190972846665
154,College Hall C,"Walkways, Hilo",POINT (-155.0804363 19.7032682),19.7032682,-155.0804363,0.06320474978553135
155,Center for Community Engagement,"Kapiolani Street, Hilo",POINT (-155.0793804 19.7034002),19.7034002,-155.0793804,0.062142044295163394
156,Business ED & Tech,"Life Sciences Building A, Hilo",POINT (-155.0800825 19.702267),19.702267,-155.0800825,0.0630398742397453
157,Daniel Gallares,"70 Olona Street, Hilo",POINT (-155.0760549 19.7044176),19.7044176,-155.0760549,0.05869112045388846
158,Hawaii Community College Learning Center,"200 W Kawili St., Mookini Library (LIB), Room 126A, Hilo",POINT (-155.0806014 19.7014408),19.7014408,-155.0806014,0.06371094209829284
159,College of Business and Economics (CoBE),"Student Services Building 338, Hilo",POINT (-155.0801149 19.7011738),19.7011738,-155.0801149,0.0632893804619876
160,Hawaii Community College Children's Center,"200 West Kawili Street, Hilo",POINT (-155.0792472 19.7012676),19.7012676,-155.0792472,0.06242115900895041
161,UH Hilo Cashier’s Office,"200 West Kawili Street Room W-101, Hilo",POINT (-155.0799887 19.70070519999999),19.70070519999999,-155.0799887,0.06326498583130252
162,Campus Center,Hilo,POINT (-155.0807044 19.70032119999999),19.70032119999999,-155.0807044,0.06404687302448875
163,"UH Hilo College Of Agriculture, Forestry, And Natural Resource Management","113 Nowelo Street, Hilo",POINT (-155.0826752 19.7002051),19.7002051,-155.0826752,0.06599624799546508
164,College of Agri Forestry,"200 West Kawili Street, Hilo",POINT (-155.0822389 19.699998),19.699998,-155.0822389,0.06561492109273273
165,School of Education,"UCB, 200 West Kawili Street Room 313, Hilo",POINT (-155.0813294 19.6999834),19.6999834,-155.0813294,0.06473082814287524
166,General and Zone 4 Parking Lot,Hilo,POINT (-155.0789984 19.703402),19.703402,-155.0789984,0.061765687615558576
167,Texaco,"321 Makaala Street, Hilo",POINT (-155.0633907 19.6995646),19.6995646,-155.0633907,0.0475310887502519
168,Longs Drugs,"111 East Puainako Street, Hilo",POINT (-155.0633309 19.697369),19.697369,-155.0633309,0.04820103957222301
169,"Minit Stop Hilo - Leilani - Fried Chicken, Convenience Store and Gas Station","763 Leilani Street, Hilo",POINT (-155.0645825 19.7096274),19.7096274,-155.0645825,0.04661535532292719
170,nomnom,"1698 Kilauea Avenue, Hilo",POINT (-155.0726869 19.702086),19.702086,-155.0726869,0.05583749241788143
171,Walmart,"325 Makaala Street, Hilo",POINT (-155.0618477 19.70026589999999),19.70026589999999,-155.0618477,0.04584707325061285
172,Macy's,"111 East Puainako Street Ste 800, Hilo",POINT (-155.062118 19.697551),19.697551,-155.062118,0.04700220665184624
173,Target,"391 Makaala Street, Hilo",POINT (-155.0596618 19.7006301),19.7006301,-155.0596618,0.04365582675983217
174,Ross Dress for Less,"307 Makaala Street, Hilo",POINT (-155.0639553 19.70129949999999),19.70129949999999,-155.0639553,0.0475649359365128
175,T.J. Maxx,"111 East Puainako Street, Hilo",POINT (-155.0643014 19.6974554),19.6974554,-155.0643014,0.049081140786587464
176,Hawaii Petroleum Inc,"16 Railroad Avenue #202, Hilo",POINT (-155.0621338 19.7090109),19.7090109,-155.0621338,0.044249164631047014
177,Big Island Energy Co.,"50 Kukila Street # C, Hilo",POINT (-155.0609399 19.701756),19.701756,-155.0609399,0.0445412676485785
178,Ohana Fuels Hilo Leilani - Gas Station,"763 Leilani Street, Hilo",POINT (-155.0645825 19.7096274),19.7096274,-155.0645825,0.04661535532292719
179,Mid Pac Petroleum,"1698 Kilauea Avenue, Hilo",POINT (-155.0725784 19.7021737),19.7021737,-155.0725784,0.055712468045228454
180,Safeway Fuel Station,"381 E Maka'Ala St, Hilo",POINT (-155.0611119 19.699444),19.699444,-155.0611119,0.045409418302642536
181,Chika Nakano Repair Shop,"90 Pookela Street, Hilo",POINT (-155.0649533 19.70327739999999),19.70327739999999,-155.0649533,0.048033509990360254
182,H F N,"842 Leilani Street, Hilo",POINT (-155.0622578 19.70926799999999),19.70926799999999,-155.0622578,0.04434235294272101
183,76,"1698 Kilauea Avenue, Hilo",POINT (-155.0725614 19.702153),19.702153,-155.0725614,0.055700387289806474
184,Safeway Liquor,Hilo,POINT (-155.0608225 19.7006131),19.7006131,-155.0608225,0.044764807687335324
185,Minshuku Hilo,"665 Hinano Street, Hilo",POINT (-155.0683602 19.7102066),19.7102066,-155.0683602,0.050324989235005724
186,US Forestry Department,"25 East Kawili Street, Hilo",POINT (-155.0723211 19.7040457),19.7040457,-155.0723211,0.05508228602558464
187,Hale Hood Hilo,"1668 Kilauea Avenue, Hilo",POINT (-155.0730568 19.7028577),19.7028577,-155.0730568,0.05603580199946124
188,Hawaii for You.,"894 Mililani Street Apt. C 894C, Hilo",POINT (-155.0716577 19.7099401),19.7099401,-155.0716577,0.053633239739788195
189,Regal Prince Kuhio,"111 East Puainako Street, Hilo",POINT (-155.06349 19.697813),19.697813,-155.06349,0.04819632634702691
190,Hawaiʻi Community College,"1175 Manono Street, Hilo",POINT (-155.0699525 19.7050194),19.7050194,-155.0699525,0.05257633143870544
191,Big Island Sports Academy,"761 Kanoelehua Avenue # 3, Hilo",POINT (-155.0637942 19.7074879),19.7074879,-155.0637942,0.046098490366647066
192,Prometric Satellite Center,"1175 Manono Street Bldg 380 Rm 39, Hilo",POINT (-155.0699263 19.704053),19.704053,-155.0699263,0.05272983490892734
193,I Ola Hāloa Center for Hawaiʻi Life Styles,"1175 Manono Street Bldg. 380, Room 34, Hilo",POINT (-155.0691854 19.7050792),19.7050792,-155.0691854,0.05181078099326437
194,Target Grocery,"391 Makaala Street, Hilo",POINT (-155.0593808 19.700514),19.700514,-155.0593808,0.04342577586467548
195,Intensive English Program,"1175 Manono Street, Hilo",POINT (-155.0701242 19.70399919999999),19.70399919999999,-155.0701242,0.05293441970876259
196,Hilo Medical Center Heliport,"1190 Waianuenue Avenue, Hilo",POINT (-155.1143653 19.7184778),19.7184778,-155.1143653,0.09625375910999708
197,Cubbyhole,"1190 Waianuenue Avenue, Hilo",POINT (-155.112991 19.718234),19.718234,-155.112991,0.09487035506573618
198,7-Eleven,"83 Kaumana Drive, Hilo",POINT (-155.1041287 19.7149798),19.7149798,-155.1041287,0.08592922004276375
199,nomnom,"370 Kaumana Drive, Hilo",POINT (-155.1098839 19.7092202),19.7092202,-155.1098839,0.09182249574107976
200,Hele,"370 Kaumana Drive, Hilo",POINT (-155.1099647 19.7091781),19.7091781,-155.1099647,0.09190550966935343
