,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
1,Bogan Gallery,"2217 Postoffice St, Galveston","{'lat': 29.3044721, 'lng': -94.79293539999999}","Bogan Gallery2217 Postoffice St, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
2,Affaire d'Art Fine Art Gallery,"2227 Postoffice St, Galveston","{'lat': 29.304436, 'lng': -94.793165}","Affaire d'Art Fine Art Gallery2227 Postoffice St, Galveston","UTMB 17E113-191 11th Street, Galveston",86
3,The Proletariat Gallery & Public House,"2221 Market Street #100, Galveston","{'lat': 29.3053353, 'lng': -94.7935713}","The Proletariat Gallery & Public House2221 Market Street #100, Galveston","Parking utmb365-379 11th Street, Galveston",86
4,Gallery Évasion,"217 23rd Street, Galveston","{'lat': 29.3065075, 'lng': -94.79442279999999}","Gallery Évasion217 23rd Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
5,VACATION ON CANVAS GALLERY,"2204 Postoffice Street, Galveston","{'lat': 29.3050017, 'lng': -94.7924939}","VACATION ON CANVAS GALLERY2204 Postoffice Street, Galveston","UTMB 17E113-191 11th Street, Galveston",86
6,The Old Galveston Trading Company,"2115 Postoffice Street, Galveston","{'lat': 29.304724, 'lng': -94.791834}","The Old Galveston Trading Company2115 Postoffice Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
7,René Wiley Gallery,"2128 Postoffice St, Galveston","{'lat': 29.3050828, 'lng': -94.79228859999999}","René Wiley Gallery2128 Postoffice St, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
8,The Tattoo Shop,"5702 Stewart Road, Galveston","{'lat': 29.2773944, 'lng': -94.82735559999999}","The Tattoo Shop5702 Stewart Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
9,Art League,"2117a Postoffice Street, Galveston","{'lat': 29.304719, 'lng': -94.7918334}","Art League2117a Postoffice Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
10,Galveston Arts Center,"2127 The Strand, Galveston","{'lat': 29.307351, 'lng': -94.79304119999999}","Galveston Arts Center2127 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
11,QQ ArtSpace,"3622 85th Street, Galveston","{'lat': 29.2553328, 'lng': -94.8493768}","QQ ArtSpace3622 85th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
12,J Bangle Gallery,"13708 Termini-San Luis Pass Road, Galveston","{'lat': 29.2084071, 'lng': -94.9378315}","J Bangle Gallery13708 Termini-San Luis Pass Road, Galveston","UTMB 17E113-191 11th Street, Galveston",86
13,Maebemy Gallery,"2828 61st Street UNIT 1303, Galveston","{'lat': 29.2690695, 'lng': -94.8270884}","Maebemy Gallery2828 61st Street UNIT 1303, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
14,ANNE LANE GALLERY,"3818 Avenue S, Galveston","{'lat': 29.282381, 'lng': -94.80553169999999}","ANNE LANE GALLERY3818 Avenue S, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
15,J. A. Soukup Fine Art,"2208 Post Office Street, Galveston","{'lat': 29.178961, 'lng': -94.9771686}","J. A. Soukup Fine Art2208 Post Office Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
16,J Bangle Galleries,"1124 25th Street, Galveston","{'lat': 29.2978274, 'lng': -94.7935114}","J Bangle Galleries1124 25th Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
17,The Studio Experience Gallery and Fine Art Printers,"2327 Winnie Street, Galveston","{'lat': 29.3024723, 'lng': -94.79383310000001}","The Studio Experience Gallery and Fine Art Printers2327 Winnie Street, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
18,29 Degrees North Galveston,"2418 The Strand, Galveston","{'lat': 29.3068089, 'lng': -94.7962417}","29 Degrees North Galveston2418 The Strand, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
19,Water's Edge Studio Gallery,"1302 21st Street, Galveston","{'lat': 29.2978754, 'lng': -94.78850729999999}","Water's Edge Studio Gallery1302 21st Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
20,Arts on Mechanic,"2309 Mechanic Street, Galveston","{'lat': 29.3060921, 'lng': -94.7944691}","Arts on Mechanic2309 Mechanic Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
21,Upstairs Art Studio,"2328 The Strand, Galveston","{'lat': 29.30720219999999, 'lng': -94.7953363}","Upstairs Art Studio2328 The Strand, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
22,Mock & More Gallery,"2215-B Postoffice St, Galveston","{'lat': 29.3044633, 'lng': -94.792807}","Mock & More Gallery2215-B Postoffice St, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
23,Alia Benavides,"2201 Postoffice St, Galveston","{'lat': 29.30466909999999, 'lng': -94.79264189999999}","Alia Benavides2201 Postoffice St, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
24,The Artist's Studio & Gallery,"1447 19th Street, Galveston","{'lat': 29.2969473, 'lng': -94.7860735}","The Artist's Studio & Gallery1447 19th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
25,G.Lee Gallery,"2217 The Strand, Galveston","{'lat': 29.3070697, 'lng': -94.7941638}","G.Lee Gallery2217 The Strand, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
26,From the HeART Gallery,"2111 Postoffice Street, Galveston","{'lat': 29.3047615, 'lng': -94.7915907}","From the HeART Gallery2111 Postoffice Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
27,DARKE gallery,"801 East Beach Drive, Galveston","{'lat': 29.3158378, 'lng': -94.75467110000001}","DARKE gallery801 East Beach Drive, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
28,Galveston RV Resort and Marina,"6310 Heards Lane, Galveston","{'lat': 29.2787925, 'lng': -94.8350109}","Galveston RV Resort and Marina6310 Heards Lane, Galveston","UTMB 17E113-191 11th Street, Galveston",86
29,Stella Mare RV Resort,"3418 Stella Mare Lane, Galveston","{'lat': 29.2405186, 'lng': -94.8816109}","Stella Mare RV Resort3418 Stella Mare Lane, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
30,Tiki Tom's RV Park,"333 Jones Lake Road, Galveston","{'lat': 29.3031502, 'lng': -94.90392170000001}","Tiki Tom's RV Park333 Jones Lake Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
31,Jamaica Beach RV Park,"17200 Termini-San Luis Pass Road, Galveston","{'lat': 29.1789996, 'lng': -94.9817956}","Jamaica Beach RV Park17200 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
32,Galveston Island KOA Holiday,"23700 Termini-San Luis Pass Road, Galveston","{'lat': 29.1220283, 'lng': -95.07344959999999}","Galveston Island KOA Holiday23700 Termini-San Luis Pass Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
33,Bay Side Campsite,Galveston,"{'lat': 29.2106105, 'lng': -94.9553701}",Bay Side CampsiteGalveston,"Bay Area Real Property1802 Broadway Avenue J # 212, Galveston",86
34,Galveston,"6702 Seawall Boulevard, Galveston","{'lat': 29.2651551, 'lng': -94.83295439999999}","Galveston6702 Seawall Boulevard, Galveston","Texaco Galveston4502 Seawall Boulevard, Galveston",88
35,Galveston party boats Pier 9,"9 Pier 21, Galveston","{'lat': 29.30944, 'lng': -94.79271159999999}","Galveston party boats Pier 99 Pier 21, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
