,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
32,"Backstage Hi, LLC","190 Keawe Street, Hilo",POINT (-155.0875244 19.7244825),19.7244825,-155.0875244,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
33,Private Yoga Classes Hilo,Hilo,POINT (-155.0868193 19.7241106),19.7241106,-155.0868193,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
34,school of hi,Hilo,POINT (-155.0868193 19.7241106),19.7241106,-155.0868193,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
35,Tanaka Hatsume Piano Studio,"165 Keawe Street #104, Hilo",POINT (-155.087064 19.724924),19.724924,-155.087064,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
36,Gloria Mendoza-Watson Piano,"165 Keawe Street #104, Hilo",POINT (-155.087064 19.724924),19.724924,-155.087064,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
37,YWCA of Hawaii Island Developmental Preschool,"145 Ululani Street, Hilo",POINT (-155.0888541 19.7235039),19.7235039,-155.0888541,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
38,Lumphrey Piano Studio,"90 Kamehameha Avenue # 9, Hilo",POINT (-155.0868407 19.7264645),19.7264645,-155.0868407,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
39,US Wing Chun Hawaii,"29 Shipman Street, Hilo",POINT (-155.0875748 19.7268637),19.7268637,-155.0875748,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
40,Home Of The Rainbows,"58 Kapiolani Street, Hilo",POINT (-155.0908063 19.7225755),19.7225755,-155.0908063,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
41,Waianuenue 2 Preschool,"374 Waianuenue Avenue, Hilo",POINT (-155.0915076 19.7241352),19.7241352,-155.0915076,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
42,Urawantadai Hawaii College,Hilo,POINT (-155.0919809 19.72365509999999),19.72365509999999,-155.0919809,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
43,Sack N Save Hilo,"250 Kinoole Street, Hilo",POINT (-155.0883065 19.7228313),19.7228313,-155.0883065,0,0.1328868523087769,0,1,0,1,0,1,,9.382886852308777
44,KTA Super Stores - Downtown,"321 Keawe Street, Hilo",POINT (-155.0859457 19.7230579),19.7230579,-155.0859457,0,0.20267888614733875,0,1,0,1,0,1,,9.27410745757591
45,Healing Oasis,"351 Wailuku Drive, Hilo",POINT (-155.0915752 19.7248628),19.7248628,-155.0915752,0,0.9999999999999994,0,1,0,1,0,0,,6.571428571428571
46,Paradise Performing Arts Center,"29 Shipman Street Suite #202, Hilo",POINT (-155.087556 19.726866),19.726866,-155.087556,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
47,United Hawaii College,"139 Kapiolani Street, Hilo",POINT (-155.0887427 19.7205154),19.7205154,-155.0887427,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
48,Hilo Burger Joint,"776 Kilauea Avenue, Hilo",POINT (-155.0790564 19.7164267),19.7164267,-155.0790564,0,0.6439901304194571,0,1,0,1,1,1,,10.810656797086123
49,Texaco,"774 Kamehameha Avenue, Hilo",POINT (-155.0784104 19.7218168),19.7218168,-155.0784104,0,0.004934790271413465,0,1,0,1,0,1,,9.409696695033318
50,Hilo Bottle Shop,"340 Kilauea Avenue, Hilo",POINT (-155.0836909 19.7206349),19.7206349,-155.0836909,0,0.014804370814240396,0,1,0,1,0,1,,8.526709132719002
51,Kadota Liquor,"194 Hualalai Street, Hilo",POINT (-155.0830818 19.7168287),19.7168287,-155.0830818,0,0.10927035600986958,0,1,0,1,0,0,,6.216413213152726
52,The Big Island Hostel,"804A Kilauea Avenue, Hilo",POINT (-155.0787612 19.716204),19.716204,-155.0787612,0,0.02396898131829397,0,1,0,1,0,0,,7.023968981318294
