Original_Index,Name,Weekly_Dropoff_Totes,Daily_Pickup_Totes,Address,Cumulative_Distance,Truck_Load,Coordinates,duration
0,Moody Gardens,0.0,0.0,"1 Hope Blvd, Galveston",0,0,"[-94.8523, 29.2736]",300
116,Shearn's Seafood and Prime Steaks,1.0,1.0,"7 Hope Blvd Galveston, TX 77554",471,1,"[-94.8505, 29.2708]",693
22,Cajun Greek,1.0,1.0,"2226 61st St Galveston, TX 77551",2969,2,"[-94.8316, 29.2769]",1320
150,Mario's Ristorante,1.0,1.0,"2202 61st St Galveston, TX 77551",3049,3,"[-94.8315, 29.2771]",1633
144,Yamato,1.0,1.0,"2104 61st Street, Galveston",3250,4,"[-94.8316, 29.2781]",1992
112,Hooters,1.0,1.0,"6028 Heards Ln Galveston, TX 77551",3541,5,"[-94.8324, 29.2797]",2423
17,Galveston College Charlie Thomas Family Applied Technology Center,2.0,3.0,"7626 Broadway Street, Galveston",6778,8,"[-94.8568, 29.2876]",3026
18,Galveston Country club,1.0,1.0,"14888 Stewart rd Galveston, TX 77554",7873,9,"[-94.8627, 29.289]",3448
121,Number 13 Prime Steak and Seafood,1.0,1.0,"7809 Broadway Street, Galveston",8969,10,"[-94.8575, 29.2851]",3920
6,Texas A&M University at Galveston,1.0,1.0,"200 Seawolf Parkway, Galveston",16423,11,"[-94.8183, 29.3155]",4902
63,Britton's Bistro (Murdocks),1.0,2.0,"2226 71st St Galveston, TX 77551",17956,13,"[-94.8189, 29.3132]",5518
106,Bronco Burritos,1.0,1.0,"4917 Broadway St Galveston, TX 77551",21381,14,"[-94.8224, 29.2918]",6198
160,Koop's BBQ Kitchen,1.0,2.0,"4501 Broadway Avenue J, Galveston",21931,16,"[-94.8173, 29.2932]",6551
96,Cordray Drug Store,1.0,2.0,"3827 Ave L Galveston, TX 77550",22860,18,"[-94.8096, 29.2933]",6954
41,Chef Mary Bass,1.0,1.0,"1510 39th Street, Galveston",23174,19,"[-94.8086, 29.2906]",7299
3,Good Dough,1.0,1.0,"1508 39th Street, Galveston",23220,20,"[-94.8085, 29.2906]",7638
42,Nick's,1.0,1.0,"1613 39th Street, Galveston",23358,21,"[-94.8085, 29.2894]",8002
19,Mr. C's Dugout @Galveston College,1.0,1.0,"Student Center, 4015 Avenue Q, Galveston",24019,22,"[-94.8078, 29.2847]",8446
95,Nick's Kitchen and Beach Bar,1.0,1.0,"3802 Seawall Boulevard, Galveston",24798,23,"[-94.804, 29.2798]",8909
25,Gaido's,1.0,1.0,"3828 Seawall Boulevard, Galveston",25283,24,"[-94.8045, 29.2796]",9357
94,Redfish Pool Bar,1.0,1.0,"3788 Seawall Boulevard, Galveston",25357,25,"[-94.8038, 29.2799]",9669
93,The Gumbo Diner,1.0,1.0,"3602 Seawall Boulevard, Galveston",25668,26,"[-94.8019, 29.2812]",10037
92,Joe's Crab Shack,1.0,1.0,"3502 Seawall Boulevard, Galveston",25746,27,"[-94.8015, 29.2816]",10390
91,Queen's Bar-B-Que,1.0,2.0,"3428 Avenue S, Galveston",25981,29,"[-94.8012, 29.2835]",10791
83,Under the Bun,1.0,1.0,"3202 Seawall Boulevard, Galveston (SPOT)",26304,30,"[-94.7982, 29.2837]",11168
88,Drip,1.0,1.0,"3204 Seawall Boulevard, Galveston",26304,31,"[-94.7982, 29.2837]",11468
84,Squeeze,1.0,1.0,"3204 Seawall Boulevard c, Galveston (spot)",26334,32,"[-94.798, 29.2838]",11784
86,SideYard,1.0,1.0,"3204 Seawall Boulevard Suite D, Galveston",26344,33,"[-94.798, 29.2837]",12089
156,The Spot,1.0,1.0,"3204 Seawall Boulevard, Galveston",26354,34,"[-94.798, 29.2836]",12394
85,Tiki Bar,2.0,2.0,"3204 Seawall Boulevard Suite B, Galveston",26354,36,"[-94.798, 29.2836]",12694
87,Rum Shack,1.0,1.0,"3204 Seawall Boulevard Suite E, Galveston",26354,37,"[-94.798, 29.2836]",12994
81,Island time beach bar,2.0,2.0,"3102 Seawall Boulevard, Galveston",26475,39,"[-94.7971, 29.2842]",13317
80,The Poop Deck,1.0,1.0,"2928 Seawall Boulevard, Galveston",26692,40,"[-94.7956, 29.2852]",13671
79,Float Pool & Patio Bar,1.0,1.0,"2828 Seawall Boulevard, Galveston",26836,41,"[-94.7944, 29.2859]",14016
15,BLVD Seafood (all of Yagas Entertainment),1.0,1.0,"2804 Avenue R 1/2, Galveston",27001,42,"[-94.794, 29.2866]",14365
154,Beerfoot Beach Bar,1.0,1.0,"2816 Avenue R 1/2, Galveston",27136,43,"[-94.7942, 29.2863]",14720
75,Fish Tales,1.0,1.0,"2502 Seawall Boulevard, Galveston",27586,44,"[-94.7909, 29.2883]",15239
74,Bubba Gump Shrimp Co.,1.0,1.0,"2501 Seawall Boulevard, Galveston",27644,45,"[-94.7902, 29.2878]",15599
73,Robert's Lafitte,1.0,1.0,"2501 Avenue Q, Galveston",27867,46,"[-94.7912, 29.2896]",15947
46,Fish Company Taco,1.0,1.0,"1914 23rd Street, Galveston",28474,47,"[-94.7889, 29.2918]",16401
52,Galvez Bar & Grill,1.0,1.0,"2024 Seawall Boulevard, Galveston",28843,48,"[-94.7863, 29.2928]",16796
