,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Bike Aggregation Point
43,Longboard Pool Bar,-94.7828729,29.2944602,1,1,292.0,bar,4.1,,,140.625,"1702 Seawall Boulevard, Galveston",POINT (-94.7828729 29.2944602),Skeptical,Med,No,High,indoor,Truck,,
44,Pennies Tex Mex Take Out,-94.8059756,29.2891349,2,1,391.0,restaurant,4.7,350,105,350,"1713 37th Street, Galveston",POINT (-94.8059756 29.2891349),Curious,Med,No,Low,indoor,Truck,,
45,Nate's Westend Seafood & Steaks,-94.9850694,29.1752194,1,1,1470.0,restaurant,4.0,,,93.75,"17515 Termini-San Luis Pass Road, Galveston",POINT (-94.9850694 29.1752194),Skeptical,Med,No,Low,indoor,Truck,,
46,Fish Company Taco,-94.7889025,29.2918404,1,1,368.0,restaurant,4.8,100,50,100,"1914 23rd Street, Galveston",POINT (-94.7889025 29.2918404),Skeptical,Med,No,Low,indoor,Truck,,
48,Saltwater Grill,-94.790643,29.3050765,1,1,653.0,restaurant,4.4,280,70,280,"2017 Postoffice Street, Galveston",POINT (-94.790643 29.3050765),Skeptical,Med,No,High,indoor,Truck,,
51,Monarch Restaurant,-94.7863581,29.2925893,1,1,5.0,restaurant,3.2,0,0,93.75,"2024 Seawall Boulevard, Galveston",POINT (-94.7863581 29.2925893),Cuirous,Med,No,Not open yet,indoor,Truck,,
52,Galvez Bar & Grill,-94.7863059,29.2928214,1,1,505.0,restaurant,4.3,415,210,415,"2024 Seawall Boulevard, Galveston",POINT (-94.7863059 29.2928214),Skeptical,Med,No,Med,indoor,Truck,,
54,Taquilo's Tex-Mex,-94.791404,29.3049299,2,1,1427.0,restaurant,4.3,420,140,420,"2101 Postoffice St, Galveston",POINT (-94.791404 29.3049299),Skeptical,Med,No,High,indoor,Truck,,
55,Sky Bar,-94.7914472,29.3049316,1,1,378.0,restaurant,4.3,210,70,210,"2105 Postoffice St, Galveston",POINT (-94.7914472 29.3049316),Skeptical,Med,No,High,indoor,Truck,,
56,Little Daddy’s Gumbo Bar - Galveston,-94.7914734,29.304882,1,1,1634.0,restaurant,4.5,1050,175,1050,"2107 Postoffice Street, Galveston",POINT (-94.7914734 29.304882),Skeptical,Med,No,High,indoor,Truck,,
57,Schlitterbahn Waterpark Galveston,-94.8517369,29.2703671,8,6,4957.0,amusement_park,4.3,,,5500,"2109 Gene Lucas Blvd, Galveston",POINT (-94.8517369 29.2703671),Skeptical,Med,No,Med,indoor,Truck,,
58,Hey Mikey's Ice Cream,-94.79194,29.3051204,1,1,818.0,cafe,4.6,,,625,"2120 Postoffice St, Galveston",POINT (-94.79194 29.3051204),Skeptical,Med,No,High,indoor,Truck,,
60,The West End Marina and Restaurants,-95.0470457,29.1449947,1,1,803.0,bar,4.1,300,150,300,"21706 Burnet Drive, Galveston",POINT (-95.0470457 29.1449947),Skeptical,Med,No,Med,indoor,Truck,,
63,Britton's Bistro (Murdocks),-94.81892221,29.3131588,2,1,2.0,restaurant,4.5,,,750,"2226 71st St Galveston, TX 77551",POINT (-94.8189222054326 29.3131588001007),Curious,Med,No,Med,indoor,Truck,,
66,Press Box,-94.7948097,29.3040367,2,2,320.0,bar,4.4,70,10,70,"2401 Postoffice Street, Galveston",POINT (-94.7948097 29.3040367),Hesitant,Med,No,Med,indoor,Truck,,
68,Jack's Pub On Post Office,-94.7951116,29.3043679,2,2,316.0,bar,4.6,210,30,210,"2406 Postoffice St, Galveston",POINT (-94.7951116 29.3043679),Hesitant,Med,No,Low,indoor,Truck,,
71,Trini Mike's Island Time Kitchen (Food Truck),-94.7954706,29.3041632,1,1,5.0,restaurant,4.2,,,93.75,"2424 Post Office, Galveston (Sharkeys)",POINT (-94.7954706 29.3041632),Skeptical,Med,No,Low,indoor,Truck,,
72,La Estacion Restaurant,-94.794797,29.3015187,58,1,442.0,restaurant,4.3,175,25,175,"2428 Avenue H, Galveston",POINT (-94.794797 29.3015187),Skeptical,Med,No,Low,indoor,Bike_Aggregate,,
73,Robert's Lafitte,-94.7911531,29.2896039,1,1,122.0,bar,4.5,600,400,600,"2501 Avenue Q, Galveston",POINT (-94.7911531 29.2896039),Currious,Med,No,Med,indoor,Truck,,
74,Bubba Gump Shrimp Co.,-94.790157,29.28785,1,1,6587.0,restaurant,4.0,140,20,140,"2501 Seawall Boulevard, Galveston",POINT (-94.790157 29.28785),Skeptical,Med,No,High,indoor,Truck,,
76,Shrimp 'N Stuff Downtown,-94.7958306,29.3013951,2,1,1785.0,restaurant,4.5,1400,200,1400,"2506 Avenue H, Galveston",POINT (-94.7958306 29.3013951),Skeptical,Med,No,Low,indoor,Truck,,
77,Freckleberry Teahouse,-94.79937,29.3041968,1,1,78.0,cafe,4.9,,,625,"2724 Market Street, Galveston",POINT (-94.79937 29.3041968),Curious,Med,No,Med,indoor,Truck,,
78,Taco Cabana,-94.82903,29.27079,2,1,109.0,restaurant,2.0,2800,400,2800,"2729 61st St. Galveston, TX 77551",POINT (-94.82903 29.27079),Opp,Med,No,Low,indoor,Truck,,
79,Float Pool & Patio Bar,-94.7944124,29.2859177,1,1,1433.0,bar,4.2,?,?,,"2828 Seawall Boulevard, Galveston",POINT (-94.7944124 29.2859177),Skeptical,Med,No,Med,indoor,Truck,,
80,The Poop Deck,-94.7955743,29.2852319,1,1,235.0,bar,4.5,10000,500,10000,"2928 Seawall Boulevard, Galveston",POINT (-94.7955743 29.2852319),Skeptical,Med,No,Low,indoor,Truck,,
81,Island time beach bar,-94.7971187,29.2842203,2,2,12.0,bar,4.7,,,1125,"3102 Seawall Boulevard, Galveston",POINT (-94.7971187 29.2842203),Curious,Med,No,Low,indoor,Truck,,
82,Taqueria Flores,-94.8026272,29.297634,2,1,507.0,restaurant,4.5,,,750,"3202 Broadway Avenue J #4228, Galveston",POINT (-94.8026272 29.297634),Skeptical,Med,No,Low,indoor,Truck,,
83,Under the Bun,-94.7981611,29.2836927,1,1,6.0,restaurant,4.8,,,93.75,"3202 Seawall Boulevard, Galveston (SPOT)",POINT (-94.7981611 29.2836927),Skeptical,Med,No,High,indoor,Truck,,
84,Squeeze,-94.7980425,29.2837569,1,1,35.0,bar,3.5,,,140.625,"3204 Seawall Boulevard c, Galveston (spot)",POINT (-94.7980425 29.2837569),Skeptical,Med,No,High,indoor,Truck,,
85,Tiki Bar,-94.7979736,29.2836062,2,2,142.0,bar,4.3,,,1125,"3204 Seawall Boulevard Suite B, Galveston",POINT (-94.7979736 29.2836062),Skeptical,Med,No,High,indoor,Truck,,
86,SideYard,-94.7980166,29.2837156,1,1,106.0,bar,4.2,,,140.625,"3204 Seawall Boulevard Suite D, Galveston",POINT (-94.7980166 29.2837156),Skeptical,Med,No,High,indoor,Truck,,
87,Rum Shack,-94.7979948,29.2835904,1,1,221.0,bar,4.3,,,140.625,"3204 Seawall Boulevard Suite E, Galveston",POINT (-94.7979948 29.2835904),Skeptical,Med,No,High,indoor,Truck,,
89,Black Pearl Oyster Bar,-94.7940474,29.3054649,1,1,2224.0,restaurant,4.4,105,15,105,"327 23rd Street, Galveston",POINT (-94.7940474 29.3054649),Skeptical,Med,No,Low,indoor,Truck,,
90,La Michoacana Meat Market,-94.8035795,29.2965863,2,1,286.0,supermarket,4.0,350,50,350,"3301 Broadway Avenue J, Galveston",POINT (-94.8035795 29.2965863),Skeptical,Med,No,Low,indoor,Truck,,
91,Queen's Bar-B-Que,-94.8011997,29.2834997,2,1,1311.0,restaurant,4.3,700,100,700,"3428 Avenue S, Galveston",POINT (-94.8011997 29.2834997),Skeptical,Med,No,Low,indoor,Truck,,
92,Joe's Crab Shack,-94.8014962,29.2815703,1,1,4371.0,restaurant,3.8,245,35,245,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.2815703),Skeptical,Med,No,High,indoor,Truck,,
93,The Gumbo Diner,-94.8018983,29.2811811,1,1,3842.0,restaurant,4.4,350,50,350,"3602 Seawall Boulevard, Galveston",POINT (-94.8018983 29.2811811),Skeptical,Med,No,High,indoor,Truck,,
94,Rail Road Museum,-94.8091242,29.2983795,1,1,408.0,restaurant,4.6,400,100,400,"2602 Santa Fe Pl, Galveston",POINT (-94.8091242 29.2983795),Curious,med,Yes,Low,indoor,Truck,,
95,Redfish Pool Bar,-94.8037861,29.2798569,1,1,7.0,bar,2.9,,,140.625,"3788 Seawall Boulevard, Galveston",POINT (-94.8037861 29.2798569),Skeptical,Med,No,High,indoor,Truck,,
96,Nick's Kitchen and Beach Bar,-94.8040028,29.2797917,1,1,3609.0,restaurant,4.2,,,656.25,"3802 Seawall Boulevard, Galveston",POINT (-94.8040028 29.2797917),Skeptical,Med,No,High,indoor,Truck,,
97,Cordray Drug Store,-94.8095633,29.293314,2,1,28.0,convenience store,4.5,,,750,"3827 Ave L Galveston, TX 77550",POINT (-94.8095633 29.293314),Curious,Med,No,Med,indoor,Truck,,
98,Shrimp N Stuff,-94.80844,29.28874,2,1,1441.0,restaurant,4.0,1050,150,1050,"3901 Ave O Galveston, TX 77550",POINT (-94.80844 29.28874),Skeptical,Med,No,High,indoor,Truck,,
99,Whitecaps,-94.8077385,29.285577,1,1,,university,,0,0,1875,"3916 Avenue Q, Galveston",POINT (-94.8077385 29.285577),Curious,med,No,low,indoor,Truck,,
102,Shucks Tavern,-94.7912194,29.3055721,1,1,97.0,restaurant,4.7,35,0,35,"414 21st Street, Galveston",POINT (-94.7912194 29.3055721),Curious,Med,No,Low,indoor,Truck,,
105,The Wine Next Door,-94.7911713,29.3054682,1,1,3.0,bar,5.0,0,0,140.625,"418 21st Street, Galveston",POINT (-94.7911713 29.3054682),Curious,Med,No,Low,indoor,Truck,,
106,Seawall Bar,-94.8086836,29.2769262,2,1,7.0,bar,4.9,0,0,750,"4302 Seawall Boulevard, Galveston (Tru Hotel)",POINT (-94.8086836 29.2769262),Skeptical,Med,No,Low,indoor,Truck,,
107,KritiKos Olympia Grill,-94.8157266,29.2734391,1,1,379.0,restaurant,4.3,105,15,105,"4908 Seawall Boulevard suite B, Galveston",POINT (-94.8157266 29.2734391),Curious,Med,No,Low,indoor,Truck,,
108,Bronco Burritos,-94.82237832,29.29176564,1,1,289.0,restaurant,4.5,7000,1000,7000,"4917 Broadway St Galveston, TX 77551",POINT (-94.822378320166 29.2917656429058),Skeptical,Med,No,Med,indoor,Truck,,
109,America's Kitchen,-94.7755666,29.3140986,1,1,565.0,restaurant,4.4,70,5,70,"500 Harborside Drive, Galveston",POINT (-94.7755666 29.3140986),Opp,Med,No,Low,indoor,Truck,,
110,Sharky's Tavern,-94.7953346,29.3037598,2,2,757.0,restaurant,4.4,,,1250,"504 25th Street, Galveston",POINT (-94.7953346 29.3037598),Skeptical,Med,No,High,indoor,Truck,,
111,H2O Pool + Bar,-94.817417,29.2723853,11,8,33.0,restaurant,3.5,7500,500,7500,"5222 Seawall Blvd Inside the San Luis Resort Galveston, TX 77551",POINT (-94.817417 29.2723853),Skeptical,Med,No,High,indoor,Truck,,
112,The Cove,-94.8183102,29.2725491,1,1,46.0,bar,4.2,0,0,140.625,"5222 Seawall Boulevard, Galveston",POINT (-94.8183102 29.2725491),Skeptical,Med,No,High,indoor,Truck,,
113,Landry's Prime Seafood & Steaks,-94.82023169,29.2707352,1,1,637.0,restaurant,3.5,,,93.75,"5310 Seawall Blvd Galveston, TX 77551",POINT (-94.8202316880881 29.270735202849),Skeptical,Med,No,High,indoor,Truck,,
114,Hooters,-94.83244,29.2797,1,1,175.0,restaurant,2.0,280,40,280,"6028 Heards Ln Galveston, TX 77551",POINT (-94.83244 29.2797),Skeptical,Med,No,Low,indoor,Truck,,
115,Golden Corral Buffet & Grill,-94.8282526,29.2660613,1,1,4686.0,restaurant,4.2,280,40,280,"6200 Seawall Boulevard, Galveston",POINT (-94.8282526 29.2660613),Skeptical,Med,No,Low,indoor,Truck,,
116,Tremont House Hotel,-94.84080613,29.27219042,1,1,1.0,restaurant,2.0,300,200,300,"2300 Mechanic st Galveston, TX 77550",POINT (-94.8408061274375 29.2721904155014),Curious,Med,Yes,High,indoor,Truck,,
117,Cafe in the Park,-94.85089697,29.27307241,3,3,48.0,restaurant,3.0,2000,800,2000,"7 Hope Blvd Galveston, TX 77554",POINT (-94.8508969682617 29.2730724079183),Skeptical,Med,No,High,indoor,Truck,,
118,Shearn's Seafood and Prime Steaks,-94.85046387,29.27082677,1,1,110.0,restaurant,4.0,0,0,93.75,"7 Hope Blvd Galveston, TX 77554",POINT (-94.8504638671875 29.270826769182),Skeptical,Med,No,High,indoor,Truck,,
119,Rice & Curry Indo-Pak Cuisine,-94.7743744,29.30747,1,1,759.0,restaurant,3.0,70,10,70,"712 7th Street, Galveston",POINT (-94.7743744 29.30747),Curious,Med,No,Low,indoor,Truck,,
120,PJ’s coffee,-94.7780584,29.3114867,1,1,,cafe,,,,625,"712 Texas Avenue, Galveston (UTMB)",POINT (-94.7780584 29.3114867),Curious,Med,No,High,indoor,Truck,,
121,Marina Bar & Grill,-94.777354,29.3174591,1,1,530.0,bar,4.3,350,50,350,"715 North Holiday Drive, Galveston",POINT (-94.777354 29.3174591),Oppositional,Med,No,Med,indoor,Truck,,
122,Dolphin World Inc No 2,-94.85317,29.25173,1,1,5.0,restaurant,2.0,210,30,210,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low,indoor,Truck,,
123,Number 13 Prime Steak and Seafood,-94.8575356,29.2850878,1,1,1058.0,bar,4.5,75,25,75,"7809 Broadway Street, Galveston",POINT (-94.8575356 29.2850878),Hesitant,Med,No,High,indoor,Truck,,
124,Galveston Primetime,-94.8542107,29.2530127,2,2,1321.0,movie_theater,4.2,4200,600,4200,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low,indoor,Truck,,
125,Palm Beach At Moody Gardens,-94.850972,29.275732,8,6,958.0,amusement_park,4.5,,,5500,"8928, 1 Hope Boulevard, Galveston",POINT (-94.850972 29.275732),Hesitant,Med,No,High,indoor,Truck,,
126,SEA BEAN Coffee Cafe,-94.8532271,29.2506218,2,1,7.0,cafe,4.5,,,750,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High,indoor,Truck,,
127,Jimmy's Curbside Restaurant and Grocery,-94.8531793,29.2506985,2,1,8.0,restaurant,4.5,,,750,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med,indoor,Truck,,
128,Tin Cup's Caddy Shack,-94.8556317,29.2539288,1,1,197.0,bar,4.6,,,140.625,"9020 Stewart Road, Galveston",POINT (-94.8556317 29.2539288),Skeptical,Med,No,Low,indoor,Truck,,
129,Lone Star Rally-Bar Hq,-94.7755315,29.3015921,1,1,6.0,bar,4.0,,,140.625,"910 Avenue M, Galveston",POINT (-94.7755315 29.3015921),Curious,Med,No,Med,indoor,Truck,,
130,Jetty,-94.81661,29.27279,1,1,30.0,restaurant,2.5,,,93.75,HI seawall,POINT (-94.81661 29.27279),Skeptical,Med,No,High,indoor,Truck,,
131,Galveston Food Truck Park,-95.0404814,29.1415146,1,1,6.0,food,5.0,,,0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low,indoor,Truck,,
132,Blake's Bistro (under San Luis),-94.81829196,29.27254012,1,1,70.0,restaurant,4.0,0,0,93.75,San Luis Hotel,POINT (-94.8182919630244 29.2725401175338),Skeptical,Med,No,High,indoor,Truck,,
133,Bar 43,-94.8108363,29.2809684,1,1,1.0,restaurant,1.0,,,93.75,,POINT (-94.8108363 29.2809684),Currious,Med,No,Low,indoor,Truck,,
134,B. Jiggers Lounge,-94.8166683,29.2725013,1,1,17.0,restaurant,2.5,560,80,560,,POINT (-94.8166683 29.2725013),Skeptical,Med,No,High,indoor,Truck,,
135,Hummel's General Store & Deli,-94.9374899,29.20822,2,1,22.0,convenience store,4.5,700,100,700,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med,indoor,Truck,,
136,Grotto (under San Luis),-94.818427,29.272606,1,1,136.0,restaurant,4.5,0,0,93.75,,POINT (-94.818427 29.272606),Skeptional,Med,No,High,indoor,Truck,,
137,Rainforest Cafe,-94.82020721,29.27075307,1,1,485.0,restaurant,3.0,350,50,350,,POINT (-94.820207208395 29.270753067342),Skeptical,Med,No,High,indoor,Truck,,
138,Tortuga Mexican Kitchen,-94.82559204,29.26748848,1,1,486.0,restaurant,3.0,20,10,20,,POINT (-94.8255920410156 29.2674884796143),Opp,Med,No,Low,indoor,Truck,,
139,Rainforest Pyramid,-94.85260158,29.27548471,2,1,26.0,restaurant,4.0,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8526015753142 29.2754847110984),Curious,Med,Yes,High,indoor,Truck,,
140,Aquarium Pyramid,-94.85420043,29.27236148,2,1,56.0,restaurant,3.5,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8542004275391 29.2723614780696),Skeptical,Med,Yes,High,indoor,Truck,,
142,Stuttgarden Tavern,-94.7947919,29.3077483,1,1,2179.0,bar,4.2,,,468.75,"111 23rd Street, Galveston",POINT (-94.7947919 29.3077483),Skeptical,Med,Yes,High,indoor,Truck,,
143,Mario's Pizza,-94.9373606,29.2082758,1,1,219.0,restaurant,3.5,0,0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low,indoor,Truck,,
144,The Original Mexican Cafe,-94.7836077,29.3079298,1,1,2901.0,restaurant,4.3,1015,145,1015,"1401 Market Street, Galveston",POINT (-94.7836077 29.3079298),Skeptical,Med,Yes,Low,indoor,Truck,,
145,Waterman's Restaurant,-94.94924164,29.2073822,1,1,350.0,restaurant,3.0,,,93.75,"14302 Stewart Rd Galveston, TX 77554",POINT (-94.9492416381836 29.2073822021484),Skeptical,Med,Yes,Med,indoor,Truck,,
148,Rosario`s flying pizza and pub,-94.7928341,29.3073255,1,1,34.0,restaurant,4.6,280,40,280,"2121 The Strand, Galveston",POINT (-94.7928341 29.3073255),Curious,Med,Yes,Low,indoor,Truck,,
150,The Garden Thai Cuisine,-94.7940546,29.3065697,1,1,146.0,restaurant,4.5,210,30,210,"216 23rd Street, Galveston",POINT (-94.7940546 29.3065697),Skeptical,Med,Yes,Low,indoor,Truck,,
151,The Sandbar Grille,-95.0470522,29.1449775,1,1,292.0,bar,4.0,2000,1400,2000,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med,indoor,Truck,,
155,Bubba's on The Strand,-94.7959158,29.3065268,2,2,113.0,bar,4.3,,,1125,"2411 The Strand, Galveston",POINT (-94.7959158 29.3065268),Skeptical,Med,Yes,Low,indoor,Truck,,
157,Huli Huli Hut,-94.7892355,29.3071699,2,1,1766.0,restaurant,4.3,175,25,175,"312 19th Street, Galveston",POINT (-94.7892355 29.3071699),Skeptical,Med,Yes,Low,indoor,Truck,,
158,The Spot,-94.7980051,29.2836047,1,1,12914.0,bar,4.3,,,468.75,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),Skeptical,Med,Yes,High,indoor,Truck,,
159,Seahorse Grill,-94.86803806,29.24448719,1,1,237.0,restaurant,4.5,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,indoor,Truck,,
160,Suki Poke by the Sea,-94.7726445,29.3106151,1,1,312.0,restaurant,4.4,,,93.75,"427 Market Street, Galveston",POINT (-94.7726445 29.3106151),Skeptical,Med,Yes,Low,indoor,Truck,,
161,Papa's Pizza,-94.80952,29.2765,5,4,475.0,restaurant,4.0,3000,500,3000,"4400 Seawall Blvd Galveston, TX 77550",POINT (-94.80952 29.2765),Skeptical,Med,Yes,High,indoor,Truck,,
162,Koop's BBQ Kitchen,-94.8173499,29.2931568,2,1,211.0,restaurant,4.8,0,0,750,"4501 Broadway Avenue J, Galveston",POINT (-94.8173499 29.2931568),Skeptical,Med,Yes,Low,indoor,Truck,,
163,Salsas,-94.811817,29.275546,1,1,5484.0,restaurant,4.3,,,656.25,"4604 Seawall Boulevard, Galveston",POINT (-94.811817 29.275546),Skeptical,Med,Yes,Low,indoor,Truck,,
164,Russo's New York Pizzeria & Italian Kitchen - Galveston,-94.7717454,29.3070053,1,1,1319.0,restaurant,4.3,210,30,210,"500 Seawall Boulevard #300, Galveston",POINT (-94.7717454 29.3070053),Skeptical,Med,Yes,Low,indoor,Truck,,
165,Lolo Kai Smoothies and Wraps,-94.7931018,29.3039878,2,1,338.0,restaurant,4.8,,,750,"528 23rd Street, Galveston",POINT (-94.7931018 29.3039878),Curious,Med,Yes,Low,indoor,Truck,,
