,OBJECTID,longitude,latitude
0,1001,-94.75064308202951,29.31978657984238
1,1002,-94.8182488888093,29.31591705171656
2,1003,-94.79956610859938,29.304098769697852
3,1004,-94.79884476201248,29.30425564557321
4,1005,-94.79888589620228,29.30395115814154
5,1006,-94.78323860127144,29.300744510277106
6,1007,-94.7829160656373,29.30713354874438
7,1008,-94.78254311285569,29.3058340940078
8,1009,-94.78236374012779,29.305448533903576
9,1010,-94.78947186642895,29.308207522422887
10,1011,-94.79547249186405,29.30706588482663
11,1012,-94.79489405672624,29.30636912476362
12,1013,-94.7945171644501,29.30596894833571
13,1014,-94.79117894578324,29.298876830867016
14,1015,-94.79458685997484,29.303052985279866
15,1016,-94.79317450929038,29.30443949246344
16,1017,-94.79578354429066,29.30467960210604
17,1018,-94.79219751465669,29.305527619526444
18,1019,-94.79093763079094,29.305304176902467
19,1020,-94.79142528991746,29.305398758171
20,1021,-94.79387682895688,29.286821140224287
21,1022,-94.80465654316862,29.27979283436278
22,1023,-94.80766313183634,29.28483601595074
23,1024,-94.80841976623564,29.28395032255426
24,1025,-94.80848296578556,29.29081525069305
25,1026,-94.81446345369835,29.28317910873626
26,1027,-94.8312277629556,29.27693490634922
27,1028,-94.84085169653919,29.259191738882585
28,1029,-94.85630155574107,29.287783203220698
29,1030,-94.87008341621183,29.26036085788438
30,2001,-94.73863887772778,29.3324257211599
31,2002,-94.74370791748981,29.326198707514134
32,2003,-94.73980899141056,29.329105532462307
33,2004,-94.7340900188766,29.33161607158881
34,2005,-94.76066517815804,29.31272792929522
35,2006,-94.75703966976023,29.315094893796168
36,2007,-94.7726069175165,29.307604921475836
37,2008,-94.77232465692693,29.304952796167928
38,2009,-94.77177899503049,29.32581402820759
39,2010,-94.77736469530414,29.317607897198062
40,2011,-94.77486177519802,29.31937847318663
41,2012,-94.77867759470759,29.311162670227162
42,2013,-94.77803604383882,29.311481991238765
43,2014,-94.77917028297603,29.31005932767953
44,2015,-94.78008219213157,29.30886439190709
45,2016,-94.78976463139954,29.308358208247025
46,2017,-94.79092946448331,29.30804830610291
47,2018,-94.79210104499914,29.30774918386031
48,2019,-94.79314157445891,29.307445163666245
49,2020,-94.79433654048458,29.307163764194225
50,2021,-94.79659810368888,29.306553892130378
51,2022,-94.79173060678852,29.306903487264677
52,2023,-94.79292724919482,29.306625156132192
53,2024,-94.7940656373741,29.306327820459984
54,2025,-94.79520578575304,29.30596342227935
55,2026,-94.79407561183888,29.305452984891023
56,2027,-94.79353288360845,29.30495314335683
57,2028,-94.79139063679578,29.304875446046914
58,2029,-94.79013343513907,29.30547750728684
59,2030,-94.79224944659475,29.304936039720776
60,2031,-94.79519296144096,29.304025120775048
61,2032,-94.79094870095092,29.29760990153201
62,2033,-94.79565379847736,29.301564338134376
63,2034,-94.77551568937412,29.301590359909017
64,2035,-94.77436242331672,29.30741534266766
65,2036,-94.77809522007522,29.298106306894827
66,2037,-94.78088203524177,29.2959958181727
67,2038,-94.78282931898663,29.294321547962955
68,2039,-94.78624779437622,29.292658800303126
69,2040,-94.78672992144668,29.292095772868514
70,2041,-94.7889175981745,29.289780909465623
71,2042,-94.79009575848431,29.28711070280968
72,2043,-94.79091848419014,29.28818402812757
73,2044,-94.79230158203251,29.287323877431938
74,2045,-94.79446482551259,29.285852517536018
75,2046,-94.83832095848734,29.289906235888086
76,2047,-94.83950750070035,29.289217381854765
77,2048,-94.79569378408021,29.29333625481932
78,2049,-94.78760026028712,29.294222926787402
79,2050,-94.79025204299359,29.28856628149467
80,2051,-94.79793028539376,29.283578041767743
81,2052,-94.80012156633995,29.282151553276123
82,2053,-94.80174966721204,29.28107180404888
83,2054,-94.80390448687943,29.27973557208092
84,2055,-94.80308876006275,29.280099515528057
85,2056,-94.81109993165724,29.288160771768883
86,2057,-94.81177928490904,29.275332835722814
87,2058,-94.82015951170017,29.27065623312738
88,2059,-94.81836159346983,29.27248713953714
89,2060,-94.81648916012027,29.272496498345124
90,2061,-94.81572556874133,29.273352898764916
91,2062,-94.81913918262707,29.27447689057828
92,2063,-94.81062601885165,29.280751071953443
93,2064,-94.81603410659707,29.28341910538308
94,2065,-94.80900713807304,29.276693179336277
95,2066,-94.8070152626033,29.277742414048394
96,2067,-94.82353641284953,29.268895487477412
97,2068,-94.82576004794197,29.267060166123745
98,2069,-94.82683653576633,29.267815671314292
99,2070,-94.82962699706077,29.27160137566384
